x,y
0,0
1,0.000569903
2,0.00113981
3,0.00170971
4,0.00227961
5,0.00284951
6,0.00341941
7,0.00398931
8,0.00455921
9,0.00512911
10,0.005699
11,0.0062689
12,0.00683879
13,0.00740868
14,0.00797856
15,0.00854845
16,0.00911833
17,0.00968821
18,0.0102581
19,0.010828
20,0.0113978
21,0.0119677
22,0.0125375
23,0.0131074
24,0.0136773
25,0.0142471
26,0.0148169
27,0.0153868
28,0.0159566
29,0.0165264
30,0.0170963
31,0.0176661
32,0.0182359
33,0.0188057
34,0.0193755
35,0.0199453
36,0.0205151
37,0.0210849
38,0.0216546
39,0.0222244
40,0.0227942
41,0.0233639
42,0.0239337
43,0.0245034
44,0.0250731
45,0.0256428
46,0.0262126
47,0.0267823
48,0.027352
49,0.0279216
50,0.0284913
51,0.029061
52,0.0296306
53,0.0302003
54,0.0307699
55,0.0313396
56,0.0319092
57,0.0324788
58,0.0330484
59,0.033618
60,0.0341875
61,0.0347571
62,0.0353267
63,0.0358962
64,0.0364657
65,0.0370353
66,0.0376048
67,0.0381743
68,0.0387437
69,0.0393132
70,0.0398827
71,0.0404521
72,0.0410215
73,0.041591
74,0.0421604
75,0.0427297
76,0.0432991
77,0.0438685
78,0.0444378
79,0.0450072
80,0.0455765
81,0.0461458
82,0.0467151
83,0.0472843
84,0.0478536
85,0.0484228
86,0.0489921
87,0.0495613
88,0.0501305
89,0.0506997
90,0.0512688
91,0.051838
92,0.0524071
93,0.0529762
94,0.0535453
95,0.0541144
96,0.0546834
97,0.0552525
98,0.0558215
99,0.0563905
100,0.0569595
101,0.0575285
102,0.0580974
103,0.0586663
104,0.0592353
105,0.0598042
106,0.060373
107,0.0609419
108,0.0615107
109,0.0620795
110,0.0626483
111,0.0632171
112,0.0637859
113,0.0643546
114,0.0649233
115,0.065492
116,0.0660607
117,0.0666293
118,0.0671979
119,0.0677665
120,0.0683351
121,0.0689037
122,0.0694722
123,0.0700407
124,0.0706092
125,0.0711777
126,0.0717461
127,0.0723146
128,0.072883
129,0.0734513
130,0.0740197
131,0.074588
132,0.0751563
133,0.0757246
134,0.0762929
135,0.0768611
136,0.0774293
137,0.0779975
138,0.0785656
139,0.0791338
140,0.0797019
141,0.0802699
142,0.080838
143,0.081406
144,0.081974
145,0.082542
146,0.0831099
147,0.0836778
148,0.0842457
149,0.0848136
150,0.0853814
151,0.0859492
152,0.086517
153,0.0870848
154,0.0876525
155,0.0882202
156,0.0887879
157,0.0893555
158,0.0899231
159,0.0904907
160,0.0910582
161,0.0916258
162,0.0921933
163,0.0927607
164,0.0933281
165,0.0938955
166,0.0944629
167,0.0950303
168,0.0955976
169,0.0961648
170,0.0967321
171,0.0972993
172,0.0978665
173,0.0984336
174,0.0990008
175,0.0995678
176,0.100135
177,0.100702
178,0.101269
179,0.101836
180,0.102403
181,0.10297
182,0.103537
183,0.104103
184,0.10467
185,0.105237
186,0.105804
187,0.10637
188,0.106937
189,0.107504
190,0.10807
191,0.108637
192,0.109203
193,0.10977
194,0.110336
195,0.110903
196,0.111469
197,0.112035
198,0.112602
199,0.113168
200,0.113734
201,0.1143
202,0.114866
203,0.115432
204,0.115999
205,0.116565
206,0.117131
207,0.117697
208,0.118262
209,0.118828
210,0.119394
211,0.11996
212,0.120526
213,0.121092
214,0.121657
215,0.122223
216,0.122788
217,0.123354
218,0.12392
219,0.124485
220,0.125051
221,0.125616
222,0.126181
223,0.126747
224,0.127312
225,0.127877
226,0.128442
227,0.129008
228,0.129573
229,0.130138
230,0.130703
231,0.131268
232,0.131833
233,0.132398
234,0.132962
235,0.133527
236,0.134092
237,0.134657
238,0.135222
239,0.135786
240,0.136351
241,0.136915
242,0.13748
243,0.138044
244,0.138609
245,0.139173
246,0.139737
247,0.140302
248,0.140866
249,0.14143
250,0.141994
251,0.142558
252,0.143122
253,0.143686
254,0.14425
255,0.144814
256,0.145378
257,0.145942
258,0.146506
259,0.14707
